基準地の１平方メートル当たり価格（円）,基準地の地積（m2）,基準地の鉄道その他の主要な交通施設との接近状況,ガス,下水,水道,鉄筋コンクリート造,鉄骨造,木造,ホテル,事務所,住宅,工場,店舗,銀行
47800,102,370.0,1,1,1,0,1,0,1,0,0,0,0,0
35300,1156,1400.0,0,1,1,0,1,0,0,0,0,0,1,0
22900,338,180.0,0,0,1,0,1,0,0,0,0,0,1,0
39500,288,1700.0,0,1,1,0,1,0,0,0,0,0,1,0
34700,977,3700.0,0,1,1,0,1,0,0,0,0,0,1,0
41400,306,1600.0,1,1,1,0,0,1,0,0,1,0,0,0
41000,254,2200.0,1,1,1,0,0,1,0,0,1,0,0,0
26900,308,2900.0,0,0,1,0,0,1,0,0,1,0,0,0
32300,280,2000.0,1,1,1,0,0,1,0,0,1,0,0,0
44900,256,2800.0,0,0,1,0,1,0,0,0,1,0,0,0
40800,237,400.0,1,1,1,0,0,1,0,0,1,0,0,0
44800,181,3800.0,0,0,1,0,0,1,0,0,1,0,0,0
39700,182,800.0,1,1,1,0,1,0,0,0,1,0,0,0
39600,142,580.0,1,1,1,0,0,1,0,0,1,0,0,0
39400,205,1400.0,0,1,1,0,0,1,0,0,1,0,0,0
23000,460,4600.0,0,0,1,0,0,1,0,0,1,0,0,0
34000,239,5100.0,0,0,1,0,0,1,0,0,1,0,0,0
47100,310,3300.0,0,0,1,0,0,1,0,0,1,0,0,0
41400,271,2600.0,1,1,1,0,0,1,0,0,1,0,0,0
27400,397,1300.0,0,0,1,0,1,0,0,0,1,0,0,0
26600,330,2900.0,0,0,1,0,0,1,0,0,1,0,0,0
21500,191,4000.0,0,1,1,0,0,1,0,0,1,0,0,0
24100,255,2700.0,0,0,1,0,0,1,0,0,1,0,0,0
24400,242,3600.0,0,1,1,0,0,1,0,0,1,0,0,0
24000,215,2800.0,0,0,1,0,0,1,0,0,1,0,0,0
24400,299,500.0,0,0,1,0,0,1,0,0,1,0,0,0
29200,295,600.0,0,0,1,0,0,1,0,0,1,0,0,0
