時点,就業者-男女計-万人,就業率-15_64歳,就業率-65歳以上,完全失業率-男女計,完全失業率-男,完全失業率-女,有効求人倍率,総実労働時間,総実労働時間うち一般労働者,総実労働時間うちパートタイム労働者
2010年11月,6298,70.3,18.9,4.8,5.2,4.3,0.62,,,
2010年12月,6278,70.1,18.6,4.6,5,4,0.62,,,
2011年1月,6261,69.8,18.7,4.8,5.2,4.1,0.64,,,
2011年2月,6268,70.1,18.5,4.6,4.9,4.2,0.66,,,
2011年3月,6241,69.6,18.9,4.9,5.2,4.5,0.65,,,
2011年4月,6305,70.2,19.5,5,5.3,4.5,0.56,,,
2011年5月,6331,70.5,19.4,4.7,5,4.4,0.54,,,
2011年6月,6314,70.5,18.9,4.7,4.9,4.5,0.56,,,
2011年7月,6291,70,19.7,4.7,5,4.3,0.6,,,
2011年8月,6288,70,20,4.5,4.6,4.3,0.65,,,
2011年9月,6326,70.6,19.7,4.2,4.5,3.8,0.7,,,
2011年10月,6314,70.6,19.2,4.4,4.7,3.9,0.72,,,
2011年11月,6309,70.6,19,4.3,4.6,3.8,0.76,,,
2011年12月,6273,70.3,18.9,4.2,4.6,3.7,0.77,,,
2012年1月,6218,69.8,18.6,4.5,4.7,4.1,0.78,136.9,156.3,88.1
2012年2月,6234,69.9,18.9,4.4,4.7,4.1,0.81,148.2,170.8,90.8
2012年3月,6223,69.8,19.2,4.7,5,4.3,0.79,148.7,171.4,92
2012年4月,6284,70.5,19.5,4.8,5,4.5,0.72,150.4,173.4,92.9
2012年5月,6306,70.8,19.6,4.5,4.6,4.4,0.71,144,164.6,91.5
2012年6月,6313,71,19.3,4.4,4.5,4.1,0.73,151.4,174.5,93.5
2012年7月,6287,70.7,19.4,4.4,4.6,4,0.77,149.4,172.1,92.7
2012年8月,6291,70.7,19.8,4.2,4.4,3.9,0.81,144.3,165.3,92.4
2012年9月,6319,70.8,20.4,4.2,4.4,3.8,0.84,145.4,167.2,91.4
2012年10月,6332,71.1,20.3,4.1,4.3,3.9,0.86,148.8,171.8,91.9
2012年11月,6309,71.1,19.6,4,4.2,3.6,0.87,151.6,175.2,93.2
2012年12月,6240,70.5,19.1,4,4.3,3.6,0.88,145.7,167.8,92.5
2013年1月,6241,70.7,19,4.2,4.6,3.7,0.89,134.7,154.3,87.3
2013年2月,6255,70.8,19.5,4.2,4.6,3.8,0.91,142.9,165.3,88.7
2013年3月,6260,70.9,19.5,4.3,4.8,3.6,0.9,143.3,165.6,89.5
2013年4月,6326,71.6,20,4.4,4.6,4.2,0.82,150.5,174.1,92.5
2013年5月,6354,71.8,20.5,4.2,4.3,4.1,0.81,144.5,166,91.4
2013年6月,6348,71.9,20.1,3.9,4.2,3.7,0.84,148.9,172.1,92.4
2013年7月,6326,71.7,20.1,3.9,4.3,3.3,0.9,149.9,173.8,92.3
2013年8月,6326,71.7,20.1,4.1,4.4,3.7,0.94,143.6,165.2,92
2013年9月,6375,72.1,20.8,3.9,4.2,3.5,0.98,144.3,166.7,90.6
2013年10月,6383,72.2,20.9,4,4.2,3.7,1.03,148.2,171.9,91.4
2013年11月,6388,72.5,20.5,3.8,4,3.5,1.07,149.8,174,92.1
2013年12月,6337,72.2,19.7,3.4,3.6,3.2,1.09,145.8,168.7,92.1
2014年1月,6280,71.7,19.4,3.7,3.9,3.4,1.09,136.4,157.1,87.7
2014年2月,6301,71.9,19.8,3.6,3.7,3.3,1.12,142.6,165.7,87.8
2014年3月,6317,72,20.2,3.8,4,3.5,1.1,144,166.9,89.4
2014年4月,6357,72.4,20.7,3.9,4,3.7,1,149.7,173.8,92.2
2014年5月,6418,73,21.2,3.6,3.6,3.7,0.98,143.3,165.1,90.8
2014年6月,6409,72.9,21.2,3.7,3.8,3.6,1.01,149.8,173.7,92.4
2014年7月,6378,72.6,21.2,3.8,3.8,3.6,1.06,150.9,175.6,92.2
2014年8月,6384,72.8,21.2,3.5,3.7,3.2,1.09,141.2,162.7,90.2
2014年9月,6424,73.2,21.3,3.5,3.7,3.3,1.12,145,168.1,90.3
2014年10月,6412,73.1,21.3,3.5,3.8,3.2,1.14,148.8,173.7,90.1
2014年11月,6394,73,21.1,3.3,3.6,2.9,1.18,145.7,169.3,90.3
2014年12月,6380,73.1,20.7,3.2,3.4,2.9,1.21,144.3,167.4,90.6
2015年1月,6332,72.5,21,3.5,3.8,3.2,1.21,136.3,158.1,86.5
